label,person1,person2,ecapa_tdnn,hubert_large,wavlm_base_plus,wavlm_large
1,id10001/Y8hIVOBuels/00001.wav,id10001/utrA-v8pPm4/00001.wav,0.9627212285995483,0.9917845129966736,0.9937196373939514,0.9954879879951477
0,id10001/Y8hIVOBuels/00001.wav,id10341/rX4LkvzySSM/00014.wav,0.9857680201530457,0.9936999082565308,0.9952021837234497,0.9946078062057495
1,id10001/Y8hIVOBuels/00001.wav,id10001/zELwAz2W6hM/00010.wav,0.9874725341796875,0.9934365749359131,0.9936405420303345,0.9932152628898621
0,id10001/Y8hIVOBuels/00001.wav,id10341/5DAommAsxmE/00007.wav,0.9931783080101013,0.9948326349258423,0.9932753443717957,0.9946081638336182
1,id10001/Y8hIVOBuels/00002.wav,id10001/zELwAz2W6hM/00005.wav,0.9913352131843567,0.9955607056617737,0.9962411522865295,0.9957869648933411
0,id10001/Y8hIVOBuels/00002.wav,id10293/X7uOKQUYTCM/00001.wav,0.9852860569953918,0.9967781901359558,0.9955220222473145,0.9971301555633545
1,id10001/Y8hIVOBuels/00002.wav,id10001/7gWzIy6yIIk/00001.wav,0.9926580190658569,0.9967455267906189,0.9971957206726074,0.9976514577865601
0,id10001/Y8hIVOBuels/00002.wav,id10016/o524HaR7jfE/00007.wav,0.9948533177375793,0.9956880211830139,0.9969550967216492,0.9968514442443848
1,id10001/Y8hIVOBuels/00003.wav,id10001/J9lHsKG98U8/00024.wav,0.9967501163482666,0.9957816004753113,0.9970075488090515,0.9972062110900879
0,id10001/Y8hIVOBuels/00003.wav,id10246/ojc6G1jqXOU/00001.wav,0.9891209006309509,0.9954785704612732,0.9947972297668457,0.99635249376297
