label,person1,person2,ecapa_tdnn,hubert_large,wavlm_base_plus,wavlm_large
1,id10001/Y8hIVOBuels/00001.wav,id10001/utrA-v8pPm4/00001.wav,0.9935916066169739,0.9773089289665222,0.976356565952301,0.9822183847427368
0,id10001/Y8hIVOBuels/00001.wav,id10341/rX4LkvzySSM/00014.wav,0.9966822266578674,0.9924228191375732,0.993009626865387,0.9923872947692871
1,id10001/Y8hIVOBuels/00001.wav,id10001/zELwAz2W6hM/00010.wav,0.9943692088127136,0.9899715781211853,0.9891719222068787,0.9879539608955383
0,id10001/Y8hIVOBuels/00001.wav,id10341/5DAommAsxmE/00007.wav,0.9994242191314697,0.9928081035614014,0.9910551309585571,0.9909845590591431
1,id10001/Y8hIVOBuels/00002.wav,id10001/zELwAz2W6hM/00005.wav,0.9187837243080139,0.9564608335494995,0.9522123336791992,0.9524648189544678
0,id10001/Y8hIVOBuels/00002.wav,id10293/X7uOKQUYTCM/00001.wav,0.9184191823005676,0.9602903723716736,0.9600568413734436,0.9581598043441772
1,id10001/Y8hIVOBuels/00002.wav,id10001/7gWzIy6yIIk/00001.wav,0.9516009092330933,0.9833630323410034,0.9836912751197815,0.9829058647155762
0,id10001/Y8hIVOBuels/00002.wav,id10016/o524HaR7jfE/00007.wav,0.9447363615036011,0.9711487889289856,0.9697344303131104,0.9688399434089661
1,id10001/Y8hIVOBuels/00003.wav,id10001/J9lHsKG98U8/00024.wav,0.9371280074119568,0.9769867658615112,0.975300133228302,0.9775554537773132
0,id10001/Y8hIVOBuels/00003.wav,id10246/ojc6G1jqXOU/00001.wav,0.9933571815490723,0.9909848570823669,0.9931316375732422,0.9901428818702698
